"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2025-2026",1,"Department of Agriculture and Agri-Food","Internal Services","ISS06","Information Management Services",16707644.00,8866845.58,16489197.00,16303238.00,145.00,,144.00,142.00,,
"2025-2026",1,"Department of Agriculture and Agri-Food","Internal Services","ISS07","Information Technology Services",48001974.00,35196012.54,47148072.00,46587110.00,317.00,,315.00,312.00,,
"2025-2026",1,"Department of Agriculture and Agri-Food","Internal Services","ISS08","Real Property Management Services",11127677.00,6078212.26,10698429.00,10492025.00,48.00,,47.00,47.00,,
"2025-2026",1,"Department of Agriculture and Agri-Food","Internal Services","ISS09","Materiel Management Services",96128.00,52135.97,94533.00,93428.00,1.00,,1.00,1.00,,
"2025-2026",1,"Department of Agriculture and Agri-Food","Internal Services","ISS0Z","Acquisition Management Services",3206033.00,2454940.73,3194772.00,3168627.00,36.00,,36.00,36.00,,
"2025-2026",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED01","Inclusive Communities",30248310.00,17549824.37,26040212.00,25449212.00,32.00,,31.00,31.00,"The spending forecasts for 2026-2027 and 2027-2028 may be adjusted in the future based on upcoming budget decisions.",
"2025-2026",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED02","Diversified Communities",82378356.00,27359279.30,68132949.00,68132949.00,75.00,,74.00,74.00,"The spending forecasts for 2026-2027 and 2027-2028 may be adjusted in the future based on upcoming budget decisions.",
"2025-2026",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED03","Research and Development and Commercialization",45907625.00,5421688.71,41807074.00,41807074.00,56.00,,56.00,56.00,"The spending forecasts for 2026-2027 and 2027-2028 may be adjusted in the future based on upcoming budget decisions.",
"2025-2026",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED04","Innovation Ecosystem",39251379.00,15666984.31,18718991.00,9704227.00,15.00,,14.00,14.00,"The spending forecasts for 2026-2027 and 2027-2028 may be adjusted in the future based on upcoming budget decisions.",
"2025-2026",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED05","Business Growth",90802782.00,58868834.76,48725169.00,48725169.00,93.00,,92.00,92.00,"The spending forecasts for 2026-2027 and 2027-2028 may be adjusted in the future based on upcoming budget decisions.",
"2025-2026",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED06","Trade and Investment",25138242.00,5273540.21,21211998.00,21211998.00,41.00,,40.00,40.00,"The spending forecasts for 2026-2027 and 2027-2028 may be adjusted in the future based on upcoming budget decisions.",
"2025-2026",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED07","Policy Research and Engagement",19529784.00,10474567.42,17355573.00,12565573.00,67.00,,66.00,66.00,"The spending forecasts for 2026-2027 and 2027-2028 may be adjusted in the future based on upcoming budget decisions.",
"2025-2026",12,"Atlantic Canada Opportunities Agency","Internal Services","ISS00","Internal Services",28767878.00,17228328.83,28610499.00,28610283.00,193.00,,190.00,190.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF01","Targeting",76986645.00,42387082.26,76108845.00,76219384.00,344.00,,336.00,330.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF02","Intelligence Collection and Analysis",128598672.00,64548553.51,129448367.00,124990834.00,908.00,,903.00,864.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF03","Security Screening",47804676.00,16612272.18,41025035.00,31880175.00,215.00,,200.00,190.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF04","Traveller Facilitation and Compliance",797025983.00,448500926.13,774449063.00,764678811.00,6008.00,,5873.00,5806.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF05","Commercial Facilitation and Compliance",378848192.00,236564630.42,397440640.00,381019003.00,2770.00,,2727.00,2752.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF06","Anti-Dumping and Countervailing",14323384.00,7696829.13,14320533.00,11166448.00,107.00,,107.00,91.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF07","Trusted Traveller",13079466.00,4060088.16,13212004.00,13252457.00,207.00,,207.00,207.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF08","Trusted Trader",26877663.00,7009353.46,17635235.00,15522266.00,130.00,,134.00,109.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF09","Recourse",24538617.00,14595665.92,23930856.00,24656138.00,142.00,,135.00,140.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF10","Force Generation",73403247.00,36644649.59,65301176.00,64949092.00,391.00,,364.00,360.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF11","Buildings and Equipment",265591579.00,93507830.84,268017181.00,228731844.00,272.00,,236.00,231.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF12","Field Technology Support",71907002.00,18034094.50,94222441.00,100024286.00,149.00,,157.00,200.00,,
"2025-2026",26,"Canada Border Services Agency","Border Management","BUF13","Trade Facilitation and Compliance",79510482.00,41881022.69,75531898.00,75119307.00,634.00,,599.00,598.00,,
"2025-2026",26,"Canada Border Services Agency","Border Enforcement","BUG01","Immigration Investigations",95820362.00,50925836.12,84167104.00,78920255.00,650.00,,619.00,587.00,,
"2025-2026",26,"Canada Border Services Agency","Border Enforcement","BUG02","Detentions",199140074.00,74646932.34,190732747.00,193069125.00,307.00,,302.00,299.00,,
"2025-2026",26,"Canada Border Services Agency","Border Enforcement","BUG03","Hearings",75882807.00,29963165.62,66804607.00,62664757.00,575.00,,505.00,475.00,,
"2025-2026",26,"Canada Border Services Agency","Border Enforcement","BUG04","Removals",94803467.00,45738700.96,94343414.00,83558903.00,439.00,,439.00,414.00,,
"2025-2026",26,"Canada Border Services Agency","Border Enforcement","BUG05","Criminal Investigations",47598242.00,31270305.66,46560712.00,46575410.00,364.00,,360.00,359.00,,
"2025-2026",26,"Canada Border Services Agency","Internal Services","ISS01","Management and Oversight Services",94901249.00,59930159.38,98934146.00,98095744.00,778.00,,813.00,802.00,,
"2025-2026",26,"Canada Border Services Agency","Internal Services","ISS02","Communications Services",13587167.00,8359242.30,13643236.00,13540623.00,119.00,,119.00,119.00,,
"2025-2026",26,"Canada Border Services Agency","Internal Services","ISS03","Legal Services",22210933.00,11873716.16,22180784.00,21661581.00,17.00,,17.00,17.00,,
"2025-2026",26,"Canada Border Services Agency","Internal Services","ISS04","Human Resources Management Services",69877076.00,53082421.81,66569931.00,66460176.00,585.00,,551.00,549.00,,
"2025-2026",26,"Canada Border Services Agency","Internal Services","ISS05","Financial Management Services",58947804.00,54724774.29,59353318.00,54809260.00,361.00,,362.00,350.00,,
"2025-2026",26,"Canada Border Services Agency","Internal Services","ISS06","Information Management Services",8666741.00,9100181.71,8783075.00,8689611.00,60.00,,60.00,60.00,,
"2025-2026",26,"Canada Border Services Agency","Internal Services","ISS07","Information Technology Services",170981563.00,93132067.91,123852313.00,151306387.00,556.00,,489.00,507.00,,
"2025-2026",26,"Canada Border Services Agency","Internal Services","ISS08","Real Property Management Services",19608124.00,10437729.05,17635091.00,17494786.00,124.00,,124.00,122.00,,
"2025-2026",26,"Canada Border Services Agency","Internal Services","ISS09","Materiel Management Services",9957525.00,5520008.72,12756849.00,13424406.00,32.00,,32.00,32.00,,
"2025-2026",26,"Canada Border Services Agency","Internal Services","ISS0Z","Acquisition Management Services",12493207.00,5549563.65,7467622.00,10303393.00,45.00,,45.00,45.00,,
"2025-2026",46,"Canada Revenue Agency","Tax","BRA01","Tax Services and Processing",1105773410.00,559801356.29,944472346.00,944571950.00,9467.00,,8032.00,8028.00,"The reduction in planned spending and FTEs is primarily associated with a decrease or sunsetting of funding to implement and administer various measures announced in the federal budgets and economic statements, including for CRA contact centres and the temporary GST/HST break, as well as the adjusted cost of the administration of the Goods and Services Tax by the Province of Quebec. It also reflects the ramping up of future year impacts of the CRA’s contribution to the Refocusing Government Spending measures announced in Budget 2023.",
"2025-2026",46,"Canada Revenue Agency","Tax","BRA02","Returns Compliance",474245793.00,252599496.31,461558119.00,445966326.00,6453.00,,6328.00,6174.00,,
"2025-2026",46,"Canada Revenue Agency","Tax","BRA03","Collections",540136293.00,271551184.08,525210972.00,520053887.00,6761.00,,6598.00,6561.00,,
"2025-2026",46,"Canada Revenue Agency","Tax","BRA06","Objections and Appeals",362064222.00,176635776.04,367506356.00,331359176.00,2213.00,,2219.00,1922.00,"The decrease in planned spending and FTEs is primarily associated with changes in funding for major project investments. Other decreases are due to the planned reduction or sunsetting of funding to implement various measures announced in the federal budgets and economic statements, including for the federal carbon pollution pricing system.",
"2025-2026",46,"Canada Revenue Agency","Tax","BRA07","Taxpayer Relief",36625537.00,18476488.16,36802538.00,36759962.00,382.00,,385.00,384.00,,
"2025-2026",46,"Canada Revenue Agency","Tax","BRA08","Service Feedback",16295628.00,10097866.37,15887853.00,15718518.00,128.00,,122.00,120.00,,
"2025-2026",46,"Canada Revenue Agency","Tax","BRA09","Charities",42055953.00,18109697.35,40424849.00,40289258.00,331.00,,314.00,313.00,,
"2025-2026",46,"Canada Revenue Agency","Tax","BRA10","Registered Plans",30061838.00,12025625.78,25012765.00,24376297.00,255.00,,221.00,217.00,"The decrease in planned spending and FTEs is primarily associated with changes in funding for major project investments and the First Home Savings Account.",
"2025-2026",46,"Canada Revenue Agency","Tax","BRA11","Policy, Rulings, and Interpretations",152046925.00,75849684.22,152199379.00,154198535.00,1556.00,,1551.00,1571.00,,
"2025-2026",46,"Canada Revenue Agency","Tax","BRA12","Reporting Compliance",1710191849.00,902499851.72,1697520660.00,1681238161.00,13053.00,,12893.00,12756.00,,
"2025-2026",46,"Canada Revenue Agency","Benefits","BRB01","Benefits",4858170167.00,127087987.79,673866260.00,681511620.00,2156.00,,1808.00,1808.00,"The majority of the decrease in planned spending is associated with the statutory forecast for the distribution of fuel charge proceeds to the province or territory of origin, primarily through the Canada Carbon Rebate. 

The decrease in FTEs is primarily associated with the planned reduction of spending on the administration of COVID-19 measures on behalf of Employment and Social Development Canada. Other decreases are due to the planned reduction or sunsetting of funding to implement various measures announced in the federal budgets and economic statements, including for CRA contact centres.",
"2025-2026",46,"Canada Revenue Agency","Taxpayers' Ombudsperson","BRC01","Taxpayers' Ombudsperson",5324936.00,2295436.35,4780970.00,4784123.00,38.00,,33.00,33.00,"The reduction in planned spending and FTEs is primarily associated with the sunsetting of funding internally reallocated to address operational priorities.",
"2025-2026",46,"Canada Revenue Agency","Internal Services","ISS01","Management and Oversight Services",209580094.00,120263528.86,203398664.00,202434543.00,1545.00,,1490.00,1481.00,,
"2025-2026",46,"Canada Revenue Agency","Internal Services","ISS02","Communications Services",44592811.00,39198830.78,38824624.00,38466541.00,347.00,,326.00,321.00,"The decrease in planned spending is primarily associated with the sunsetting of
funding for Government advertising programs. It also reflects the ramping up of
future year impacts of the CRA’s contribution to the Refocusing Government
Spending measures announced in Budget 2023.",
"2025-2026",46,"Canada Revenue Agency","Internal Services","ISS03","Legal Services",3879190.00,2146413.04,3892764.00,3892764.00,36.00,,36.00,36.00,,
"2025-2026",46,"Canada Revenue Agency","Internal Services","ISS04","Human Resources Management Services",161062124.00,112805705.46,153516301.00,151673612.00,1411.00,,1340.00,1322.00,,
"2025-2026",46,"Canada Revenue Agency","Internal Services","ISS05","Financial Management Services",109088032.00,42166420.90,90461219.00,98270064.00,913.00,,847.00,899.00,"Includes centrally held provisions. Changes in planned spending are primarily due to fluctuations in funding internally reallocated to other programs for major project investments and operational priorities.",
"2025-2026",46,"Canada Revenue Agency","Internal Services","ISS06","Information Management Services",26625229.00,28131341.42,26449524.00,22971711.00,212.00,,201.00,194.00,"The reduction in planned spending is primarily associated with a decrease or sunsetting of funding to implement and administer various measures announced in the federal budgets and economic statements, including for the temporary GST/HST break.",
"2025-2026",46,"Canada Revenue Agency","Internal Services","ISS07","Information Technology Services",386056162.00,400192642.25,373972468.00,388660102.00,2937.00,,2916.00,3004.00,,
"2025-2026",46,"Canada Revenue Agency","Internal Services","ISS08","Real Property Management Services",61370096.00,186945025.07,49834068.00,47848363.00,255.00,,254.00,254.00,"The decrease is primarily associated with the planned reduction in the accommodation and real property footprint.",
"2025-2026",46,"Canada Revenue Agency","Internal Services","ISS09","Materiel Management Services",29155700.00,13661202.61,27770342.00,27755884.00,272.00,,258.00,258.00,,
"2025-2026",46,"Canada Revenue Agency","Internal Services","ISS0Z","Acquisition Management Services",10814607.00,5589768.88,10010015.00,10010015.00,83.00,,76.00,76.00,,
"2025-2026",47,"Canada School of Public Service","Common Public Service Learning","BTR01","Learning",70539948.00,34517083.75,62384143.00,61790326.00,483.00,,480.00,480.00,,
"2025-2026",47,"Canada School of Public Service","Internal Services","ISS00","Internal Services",23513316.00,16876265.40,23073587.00,22853956.00,178.00,,178.00,178.00,,
"2025-2026",55,"Canadian Centre for Occupational Health and Safety","National Occupational Health and Safety Resource","BFZ01","Occupational health and safety information and services",8619003.00,2198242.61,8619003.00,8619003.00,70.50,,70.50,70.50,,
"2025-2026",55,"Canadian Centre for Occupational Health and Safety","Internal Services","ISS00","Internal Services",5061954.00,2627127.24,5061954.00,5061954.00,41.40,,41.40,41.40,,
"2025-2026",63,"Impact Assessment Agency of Canada","Impact Assessment","BGV03","Assessment Administration, Conduct, and Monitoring",72147369.00,33464100.75,72448358.00,73383904.00,390.00,,390.00,390.00,,
"2025-2026",63,"Impact Assessment Agency of Canada","Impact Assessment","BGV04","Indigenous Relations and Engagement",20201263.00,12934229.62,20285540.00,20547493.00,60.00,,60.00,60.00,,
"2025-2026",63,"Impact Assessment Agency of Canada","Internal Services","ISS20","Internal Services",23087158.00,14869687.23,23183475.00,23482849.00,150.00,,150.00,150.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH01","Setting Rules for Plant Health",22581000.00,14407699.54,22036000.00,22035000.00,169.00,,164.00,164.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH02","Plant Health Compliance Promotion",2207000.00,1358990.23,1952000.00,1952000.00,18.00,,16.00,16.00,"Agency spending decrease is the result of sunset funding for Potato Wart.
Agency FTE decrease is the result of sunset funding for Potato Wart.",
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH03","Monitoring and Enforcement for Plant Health",60366000.00,22794647.17,55875000.00,55871000.00,437.00,,400.00,400.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH04","Permissions for Plant Products",33307000.00,17470429.23,33062000.00,33059000.00,258.00,,252.00,252.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH05","Setting Rules for Animal Health",48922000.00,22888136.04,45632000.00,45629000.00,271.00,,249.00,249.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH06","Animal Health Compliance Promotion",9210000.00,5431984.39,7010000.00,7009000.00,67.00,,60.00,60.00,"Agency spending decrease is the result of sunset funding for Pet Trade.",
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH07","Monitoring and Enforcement for Animal Health",110327000.00,98329314.09,64080000.00,64076000.00,497.00,,331.00,331.00,"Agency spending decrease is the result of sunset funding for Bovine Spongiform Encephalopathy (BSE).
Agency FTE decrease is the result of the sunset funding for Bovine Spongiform Encephalopathy (BSE).",
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH08","Permissions for Animal Products",28086000.00,15019517.94,25662000.00,25661000.00,210.00,,188.00,188.00,"Agency FTE decrease is the result of sunset funding for Pet Trade.",
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH09","Setting Rules for Food Safety and Consumer Protection",58097000.00,36473225.78,55921000.00,55288000.00,412.00,,394.00,394.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH10","Food Safety and Consumer Protection Compliance Promotion",15844000.00,10028964.68,14077000.00,14073000.00,122.00,,112.00,112.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH11","Monitoring and Enforcement for Food Safety and Consumer Protection",287422981.00,154130875.91,274605892.00,274308423.00,2287.00,,2187.00,2185.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH12","Permissions for Food Products",36362000.00,21746711.45,36684000.00,36680000.00,316.00,,315.00,315.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH13","International Standards Setting",4497000.00,4153555.42,2739000.00,2738000.00,29.00,,20.00,20.00,"Agency spending decrease is the result of sunset funding for Pet Trade.",
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH14","International Regulatory Cooperation and Science Collaboration",4533000.00,3047837.04,2336000.00,2335000.00,31.00,,20.00,20.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Safe food and healthy plants and animals","BUH15","Market Access Support",15314000.00,8826387.24,10256000.00,10322000.00,51.00,,24.00,24.00,"Agency spending decrease is the result of the sunset funding for Bovine Spongiform Encephalopathy (BSE) and Pet Trade.
Agency FTE decrease is the result of the sunset funding for Bovine Spongiform Encephalopathy (BSE) and Pet Trade.",
"2025-2026",65,"Canadian Food Inspection Agency","Internal Services","ISS01","Management and Oversight Services",18597000.00,12203473.31,17914000.00,17910000.00,125.00,,125.00,125.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Internal Services","ISS02","Communications Services",17690000.00,8186268.39,17049000.00,17046000.00,117.00,,117.00,117.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Internal Services","ISS03","Legal Services",9451000.00,5632869.20,9377000.00,9377000.00,8.00,,8.00,8.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Internal Services","ISS04","Human Resources Management Services",41396983.00,22055840.88,39368000.00,39361000.00,276.00,,269.00,269.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Internal Services","ISS05","Financial Management Services",19880000.00,12537643.97,18809000.00,18805000.00,142.00,,138.00,138.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Internal Services","ISS06","Information Management Services",10827000.00,4482904.68,10507000.00,10504000.00,57.00,,57.00,57.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Internal Services","ISS07","Information Technology Services",44883000.00,29256486.64,43366074.00,43360452.00,228.00,,225.00,225.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Internal Services","ISS08","Real Property Management Services",13458000.00,9493728.38,13085000.00,13084000.00,51.00,,50.00,50.00,,
"2025-2026",65,"Canadian Food Inspection Agency","Internal Services","ISS09","Materiel Management Services",935000.00,786218.49,813000.00,813000.00,9.00,,8.00,8.00,"Agency spending decrease is the result of restructuring.
Agency FTE decrease is the result of restructuring.",
"2025-2026",65,"Canadian Food Inspection Agency","Internal Services","ISS0Z","Acquisition Management Services",2651000.00,1162531.30,2524000.00,2523000.00,23.00,,23.00,23.00,,
"2025-2026",69,"Canadian Grain Commission","Grain Regulation","BGB01","Grain Quality",1004910.00,-11217573.81,1004910.00,0.00,254.00,,254.00,240.00,"The Canadian Grain Commission's revolving fund allows revenues raised by one program to be redirected to cover the costs of other programs. Funds raised through the Grain Quality Program are redirected to fund the Grain Research Program, the Safeguards for Grain Farmers Program and Internal Services.",
"2025-2026",69,"Canadian Grain Commission","Grain Regulation","BGB02","Grain Research",8027986.00,5965387.77,6762682.00,6762448.00,61.00,,61.00,59.00,"The Canadian Grain Commission's revolving fund allows revenues raised by one program to be redirected to cover the costs of other programs. Funds raised through the Grain Quality Program are redirected to fund the Grain Research Program, the Safeguards for Grain Farmers Program and Internal Services.",
"2025-2026",69,"Canadian Grain Commission","Grain Regulation","BGB03","Safeguards for Grain Farmers",1211558.00,1257997.13,1061558.00,0.00,52.00,,52.00,41.00,"The Canadian Grain Commission's revolving fund allows revenues raised by one program to be redirected to cover the costs of other programs. Funds raised through the Grain Quality Program are redirected to fund the Grain Research Program, the Safeguards for Grain Farmers Program and Internal Services.",
"2025-2026",69,"Canadian Grain Commission","Internal Services","ISS00","Internal Services",18045310.00,14804909.80,20010310.00,11679328.00,143.00,,143.00,143.00,"The Canadian Grain Commission's revolving fund allows revenues raised by one program to be redirected to cover the costs of other programs. Funds raised through the Grain Quality Program are redirected to fund the Grain Research Program, the Safeguards for Grain Farmers Program and Internal Services.",
"2025-2026",71,"Canadian Human Rights Commission","Engagement and Advocacy","BSA01","Promotion Program",5976730.00,3093302.82,5071160.00,5071160.00,37.00,,28.00,28.00,,
"2025-2026",71,"Canadian Human Rights Commission","Complaints","BSB01","Protection Program",13734341.00,6859439.12,13734342.00,13734342.00,95.00,,95.00,95.00,,
"2025-2026",71,"Canadian Human Rights Commission","Proactive Compliance","BSC01","Audit Program",8421165.00,4160004.13,8421165.00,8421165.00,59.00,,59.00,59.00,,
"2025-2026",71,"Canadian Human Rights Commission","Internal Services","ISS00","Internal Services",11359262.00,6993645.83,10981602.00,10981602.00,92.00,,88.00,88.00,,
"2025-2026",74,"Canadian Institutes of Health Research","Funding Health Research and Training","BUI01","Investigator-Initiated Research",895960348.00,489800720.89,931978121.00,992066225.00,70.00,,72.00,72.00,"The increase can be attributed mainly to the new funding announced in Budget 2024 to support core research grants.",
"2025-2026",74,"Canadian Institutes of Health Research","Funding Health Research and Training","BUI02","Training and Career Support",99948694.00,46758138.50,116808469.00,129895934.00,48.00,,47.00,46.00,"The increase is mainly attributed to the new funding announced in Budget 2024 to support the Canada Research Training Award Suite.",
"2025-2026",74,"Canadian Institutes of Health Research","Funding Health Research and Training","BUI03","Research in Priority Areas",332883346.00,175147030.27,335856226.00,305184533.00,169.00,,171.00,166.00,"Explanation for 2026-27 and 2027-28: The reduction can be attributed to the sunset of time-limited funding for targeted research initiatives.",
"2025-2026",74,"Canadian Institutes of Health Research","Internal Services","ISS01","Management and Oversight Services",14500011.00,6503264.94,14420128.00,13950532.00,87.00,,86.00,87.00,,
"2025-2026",74,"Canadian Institutes of Health Research","Internal Services","ISS02","Communications Services",6800238.00,3035110.19,6893843.00,6444602.00,47.00,,48.00,45.00,,
"2025-2026",74,"Canadian Institutes of Health Research","Internal Services","ISS03","Legal Services",223717.00,118781.58,221159.00,214530.00,1.00,,1.00,1.00,,
"2025-2026",74,"Canadian Institutes of Health Research","Internal Services","ISS04","Human Resources Management Services",4483526.00,2141999.63,4365594.00,4308664.00,28.00,,27.00,28.00,,
"2025-2026",74,"Canadian Institutes of Health Research","Internal Services","ISS05","Financial Management Services",5832234.00,8559324.42,5730762.00,5653564.00,30.00,,30.00,31.00,,
"2025-2026",74,"Canadian Institutes of Health Research","Internal Services","ISS06","Information Management Services",2182125.00,1221942.63,2166862.00,2091166.00,13.00,,13.00,13.00,,
"2025-2026",74,"Canadian Institutes of Health Research","Internal Services","ISS07","Information Technology Services",9462033.00,4265913.82,9395544.00,9095152.00,36.00,,36.00,37.00,,
"2025-2026",74,"Canadian Institutes of Health Research","Internal Services","ISS08","Real Property Management Services",1487410.00,410394.96,963086.00,929419.00,6.00,,6.00,6.00,"Explanation for 2025-26 and 2026-27: The decrease is largely attributed to the office space transition project, which is set to be completed in 2025/26.",
"2025-2026",74,"Canadian Institutes of Health Research","Internal Services","ISS09","Materiel Management Services",218636.00,89455.62,217114.00,209484.00,2.00,,2.00,2.00,,
"2025-2026",74,"Canadian Institutes of Health Research","Internal Services","ISS0Z","Acquisition Management Services",996379.00,370804.12,989417.00,954934.00,7.00,,7.00,7.00,,
"2025-2026",76,"Canadian Intergovernmental Conference Secretariat","Intergovernmental Conference Services","BWV01","Conference Services",5882424.00,3631858.12,4745234.00,4745234.00,30.00,,25.00,25.00,"The planned spending reflects the temporary additional funding received through Budget 2023; The 3-year funding, initiated in the fiscal year 2023–24, is set to culminate in 2025–26. This explains the decrease in fiscal years 2026–27 and 2027–28. CICS remains committed to ensuring minimal disruption to its core mandate. Efforts will be focused on sustaining critical functions, particularly those that directly support high-level intergovernmental meetings.

As a result of a proactive strategy, 5 temporary employees have been added over the past two fiscal years, closely aligned with the expanded budget covering a three-year period, from 2023–24 to 2025–26. Staffing levels in Conference Services will remain stable in 2025–26, with a target of approximately 30 employees. The additional full-time equivalents (FTEs) directly support CICS' mandate to provide technical and logistical assistance, as well as planning services, for federal-provincial-territorial and provincial-territorial conferences involving First Ministers, Ministers, and Deputy Ministers across Canada. By maintaining a steady staffing level through 2025–26, CICS is positioned to continue meeting the evolving demands of intergovernmental collaboration, while upholding the highest standards of service and support.",
"2025-2026",76,"Canadian Intergovernmental Conference Secretariat","Internal Services","ISS00","Internal Services",1960808.00,756862.76,1581745.00,1581745.00,10.00,,7.00,7.00,"The planned spending reflects the temporary additional funding received through Budget 2023; The 3-year funding, initiated in the fiscal year 2023–24, is set to culminate in 2025–26. This explains the decrease in fiscal years 2026–27 and 2027–28. CICS remains committed to ensuring minimal disruption to its core mandate. Efforts will be focused on sustaining critical functions, particularly those that directly support high-level intergovernmental meetings.

As a result of a proactive strategy, 3 temporary employees have been added over the past two fiscal years, closely aligned with the expanded budget covering a three-year period, from 2023–24 to 2025–26. Staffing levels in Internal Services will remain stable in 2025–26, with a target of approximately 10 employees. The additional full-time equivalents (FTEs) directly support CICS' mandate to provide technical and logistical assistance, as well as planning services, for federal-provincial-territorial and provincial-territorial conferences involving First Ministers, Ministers, and Deputy Ministers across Canada. By maintaining a steady staffing level through 2025–26, CICS is positioned to continue meeting the evolving demands of intergovernmental collaboration, while upholding the highest standards of service and support.",
"2025-2026",86,"Canadian Northern Economic Development Agency","Economic Development in the Territories","BNL01","Community Development",14266088.00,6063471.95,11283979.00,11508376.00,25.00,,25.00,20.00,"The decrease in funding for 2026-27 reflects the sunset of the Tourism Growth Plan and Pilimmaksaivik.",
"2025-2026",86,"Canadian Northern Economic Development Agency","Economic Development in the Territories","BNL02","Business Development",39224955.00,11588095.48,38335375.00,22936688.00,62.00,,61.00,51.00,"Decreases in 2027-28 reflects the sunset of IDEANorth and NIEOP funding.",
"2025-2026",86,"Canadian Northern Economic Development Agency","Economic Development in the Territories","BNL03","Policy and Advocacy",2378069.00,2034521.99,2378069.00,2477241.50,3.00,,3.00,3.00,,
"2025-2026",86,"Canadian Northern Economic Development Agency","Economic Development in the Territories","BNL04","Northern Projects Management",2493502.00,1535516.98,2493501.00,2592673.50,3.00,,3.00,2.00,,
"2025-2026",86,"Canadian Northern Economic Development Agency","Internal Services","ISS00","Internal Services",7958538.00,5426839.16,7268107.00,5270586.00,31.00,,31.00,31.00,"The decrease in funding for 2026-27 reflects the sunset of the Tourism Growth Plan and Pilimmaksaivik. Further decreases are anticipated in 2027-28 with the sunset of IDEANorth and NIEOP funding. We have applied the same decrease ratio to our internal services.",
"2025-2026",87,"Canadian Nuclear Safety Commission","Nuclear Regulation","BTJ01","Nuclear Fuel Cycle Program",17737330.00,9244048.69,18191750.00,18480655.00,102.00,,106.00,109.00,,
"2025-2026",87,"Canadian Nuclear Safety Commission","Nuclear Regulation","BTJ02","Nuclear Reactors Program",61602786.00,29858497.81,61129775.00,62100580.00,332.00,,354.00,359.00,,
"2025-2026",87,"Canadian Nuclear Safety Commission","Nuclear Regulation","BTJ03","Nuclear Substances and Prescribed Equipment Program",17026605.00,7965853.23,17462817.00,17740146.00,84.00,,84.00,87.00,,
"2025-2026",87,"Canadian Nuclear Safety Commission","Nuclear Regulation","BTJ04","Nuclear Non-Proliferation Program",6540331.00,3199780.97,6707891.00,6814419.00,36.00,,37.00,37.00,,
